CommunityName;BeachName;BeachCountrycode;BeachRegionalSea;BeachLength_m;BeachLocation;BeachType;EventDate;EventType;NatRef;lon_x1;lat_y1;lon_x2;lat_y2;;G1;G3;G4;G5;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G40;G41;G42;G43;G44;G45;G46;G47;G49;G50;G52;G53;G54;G56;G57;G58;G59;G60;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G76;G77;G79;G80;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G95;G96;G97;G98;G99;G100;G101;G102;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G137;G138;G139;G140;G141;G142;G143;G144;G145;G147;G148;G150;G151;G152;G153;G154;G155;G156;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G171;G172;G174;G175;G176;G177;G178;G179;G180;G181;G182;G184;G186;G187;G188;G189;G190;G191;G193;G194;G195;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G210;G211;G213;CLASSE
Marnoba;LaAlmardà Valencia/València;ES;Mediterranean Sea;100;Urban;Sandy;20160625;Cleanup;;-0.198395;39.697.176;-0.197395;39.697.176;;4;4;;;9;;;3;;;;;;;;;;11;;;;;;27;;;24;;;;;7;;;;;;;;;;;;3;2;;;;;;1;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;1;;;;;;;6;;;;;;;;;3;;;;;;;;;;1;;2;2;;2;;;;;3;;;;;;;2;;;;;;3;2;2;5;;1;;;;;;;;;;;;;;;2;;;;;;;;;3;;;POLUIDO
Marnoba;Los Cristianos Santa Cruz de Tenerife;ES;North-east Atlantic Ocean;100;Urban;Sandy;20160822;Cleanup;;-1.671.897.316;2.804.959.868.999.990;-1.671.797.316;2.804.959.868.999.990;;;2;;;5;;;;;;1;;;;;;;2;;;;;;16;;;;;;;;2;;;;;;;;;;;;1;3;;;;;;1;;;;;;;0;;;;;;;;;1;;;;;;;;;;;;;;;2;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;5;;1;;;;;2;;;;;;;2;;;;;;13;1;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Marnoba;Los Muertos Almería;ES;Mediterranean Sea;100;Rural;Sandy;20160822;Cleanup;;-1.898.291.707;3.695.319.366;-18.972.917.070.000.000;3.695.319.366;;;;;;1;;;6;;;;;;;;;;18;;;;;;410;;;28;;;;;16;;;;;;;;;;;;;1;;;;;;1;;;;;;;4;;;;;;4;;;9;;;;;;;;;;;;;;;2;;;;1;;;7;;;;;;;;;;;1;;;;;;;;2;;;;;1;;;;;8;1;1;;;;;;;;71;25;;5;;71;51;;;;1;;;;;;;;;;;1;;1;;;;1;;;;;13;;;POLUIDO
Marnoba;Norte de Gandía Valencia/València;ES;Mediterranean Sea;100;Urban;Sandy;20160612;Cleanup;;-0.17004000000000002;39.016.103;-0.16904000000000002;39.016.103;;1;1;;;3;;;1;;;;;;;;;;3;;;;;;12;;;8;;;;;3;;;;;;;;;;;;5;1;;;;1;;1;;;;;;1;1;;;;;;;;;1;;;;;;;;;;;;;;;0;;;1;;;;2;;;;;;;;;1;;;;;;;;;;;;1;;;1;;;;;2;1;;;;;;3;;;;;;2;1;1;2;;1;;;;;;;;;;;;;;;1;;;;;;;;;1;;;POLUIDO
Marnoba;Platja de la Murtra Barcelona;ES;Mediterranean Sea;100;Urban;Sandy;20160611;Cleanup;;26.062.629.999.999.900;41.594.577;2.607.263;41.594.577;;;;;;;;;13;;;;;;;;;;17;;;;;;1221;;;70;;;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;573;;;;;;;;;;;;;;496;3;;;;;;;1;;;;;;;;;;;;;;;;;;;4;;;1;;1;;;;;180;1;;;;;;2;;;1;;;2;;26;2;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;LIMPO
Marnoba;Platja Equipada Barcelona;ES;Mediterranean Sea;100;Urban;Sandy;20160506;Cleanup;;210.561;41.287.226;210.661;41.287.226;;;35;;;18;;;141;;;;;;;;;;27;;;;;;780;;;;;;;;20;;;;;;;;;;;;8;10;;;;1;;;;;;;;;0;;;;;;;;;578;;;;;;;;;;;;;;525;50;;;;;;;0;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;30;7;;;1;;;;;;7;;;5;;47;;;;;;;;;;;;;;;;7;;18;;;;8;;;;;;;;LIMPO
gBqsPxAZ;Playa de Baldaio;ES;North-east Atlantic Ocean;408;Rural;Sandy;20160607;Cleanup;;-8.678.985.199.403.890;4.329.871.191.173.770;-8.674.127.527.165.650;43.299.659.459.211.700;;;2;3;;2;3;;4;;;;;;;;;;48;;;;;;9;;;72;;;;2;;;;;;;;;;;;;104;;3;;;;;;;;;;;;;;;;;;5;78;;;;7;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;LIMPO
gBqsPxAZ;playa de los arenales;ES;North-east Atlantic Ocean;786;Urban;Sandy;20161207;Cleanup;;-8.936.729.845.876.280;4.260.372.416.502.530;-8.932.228.174.188.540;42.597.485.857.575.400;;;95;53;;37;26;;51;;;;;;;;;;23;;;;;;156;;;22;;;;4;96;;;;;;;;33;;;;41;;;;;;;;;;;;;;;;;;;;22;21;;;;12;;;;;;;;;;;;43;;;;;;;;;;;;;;;;;;;;;;;;;;;38;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;LIMPO
gBqsPxAZ;playa de los arenales;ES;North-east Atlantic Ocean;228;Urban;Sandy;20161205;Cleanup;;-8.936.663.892.466.450;4.260.356.128.686.500;-8.935.565.342.705.510;4.260.167.184.356.200;;;42;35;;12;4;;26;;;;;;;;;;8;;;;;;58;;;12;;;;;32;;;;;;;;21;;;;11;;8;;;;;;;;;;;;;;;;;;3;21;;;;13;;;;;;;;;;;;42;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18;;;;LIMPO
gBqsPxAZ;playa fluvial de Catoira;ES;North-east Atlantic Ocean;277;Urban;Sandy;20161209;Cleanup;;-8.727.546.611.798.780;4.267.289.774.794.480;-8.729.305.610.143.140;4.267.076.423.855.010;;;85;15;;38;4;;23;;;;;;;;;;11;;;;;;63;;;6;;;;;6;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;14;;;;7;;;;;;;;;;;;28;;;;;;;;3;;;;;;;;;;;;;;;;;;;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31;;;;LIMPO
Marnoba;Puçol Valencia/València;ES;Mediterranean Sea;100;Urban;Sandy;20161007;Cleanup;;-0.265411;3.952.611.159.999.990;-0.264411;3.952.611.159.999.990;;;10;;;8;;1;7;;;;;;;;;;30;;;;;;60;;;50;;;;;10;;;;;;;;;;;;3;1;;;;;;;;;;;;6;6;;;;;;6;;;15;;;;;;;;;;20;;;;;0;;;;;;;3;;;;1;;;;;;;1;;;;;;;;;;;7;;3;;;;;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;LIMPO
Marnoba;Punta Umbría Huelva;ES;North-east Atlantic Ocean;100;Near river mouth;Sandy;20160810;Cleanup;;-6.980.000.019.000.000;3.718.361.281.999.990;-6.979.000.019;3.718.361.281.999.990;;;4;;;1;;;;;;;;;;;;;1;;;;;;;;;6;;;;;4;;;;;;;;;;;;1;2;;;;;;1;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;0;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;0;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Marnoba;Racó de Mar Valencia/València;ES;Mediterranean Sea;100;Urban;Sandy;20160808;Cleanup;;-0.203055561;3.967.833.327.999.990;-0.202055561;3.967.833.327.999.990;;;;;;;;;3;;;;;;;;;;1;;;;;;29;;;3;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;4;0;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;LIMPO
Marnoba;Racó de Mar Valencia/València;ES;Mediterranean Sea;100;Urban;Sandy;20160809;Cleanup;;-0.203055561;3.967.833.327.999.990;-0.202055561;3.967.833.327.999.990;;;;;;;;;1;;;;;;;;;;1;;;;;;31;;;5;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;2;0;;;;;;;;;2;;;;;;;;;;;;;;;0;;;;;;;6;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Marnoba;Tabaiba Santa Cruz de Tenerife;ES;North-east Atlantic Ocean;100;Urban;Rocky;20160502;Cleanup;;-1.633.027.458;28.402.130.129.999.900;-1.632.927.458;28.402.130.129.999.900;;;4;;;7;;;;;;;;;;;;;6;;;;;;19;;;4;;;;;;;;;;;;;;;;;11;2;;;;;;1;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;0;;;;1;;;;;;;1;;;;;;;;;;4;10;;2;;;;;11;;;;;;;2;;;;;1;12;;3;;;1;;14;;;;;;;;;;;;;4;;;;2;;;;;2;;;POLUIDO
Marnoba;Zarautz Gipuzkoa;ES;North-east Atlantic Ocean;100;Near river mouth;Sandy;20161030;Cleanup;;-2.171.574;43.287.611;-21.705.740.000.000.000;43.287.611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Surfrider Foundation Europe;10 Rue Paul-Emile Victor 14150 Ouistreham France;FR;North-east Atlantic Ocean;72;;;20160320;Cleanup;;-0.24752700002166975;4.927.949.999.993.000;-0.2465269999389707;4.927.949.999.993.000;;;18;;;24;32;;34;;;;;;;;;;75;;;;;15;;;;21;;5;15;5;;;;;;;;;;;;;10;;;;4;;;;;;;;;;;;;37;5;;;;;;;24;;;;;;;;;;;;;;;;;3;;;;6;;;;;;;;;;;;;;;;;66;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;LIMPO
Surfrider Foundation Europe;2 Boulevard Saint-Asile 83430 Saint-Mandrier-sur-Mer France;FR;Mediterranean Sea;81;;;20160317;Cleanup;;5.907.310.000.377.170;4.307.179.999.981.950;5.908.309.999.561.570;4.307.179.999.981.950;;;3;;;4;3;;;;;;;;;;;;12;;;;;9;1741;;;15;81;4;;;2;;;;;;;;;;;;8;;;;2;;;1;;;;;;;;;;44;2;;;;;2;;30;;;;;;;;;;;;145;;;;;;;;;1;;;;;;;;;;6;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;28;;;;;;;;;;;;;;;;;;7;;28;;;;;;;;10;;;;POLUIDO
Surfrider Foundation Europe;25 Rue du Castel 14520 Port-en-Bessin-Huppain France;FR;North-east Atlantic Ocean;72;;;20160109;Cleanup;;-0.7544089997317514;4.934.929.999.986.880;-0.7534089996490189;4.934.929.999.986.880;;;23;;;310;;;40;;;;;;;;;;;;;;;13;2;;;;;;;;;;;;;;;;;;;;;;;;260;;;;;;;;;;;;;37;14;;;;;223;;562;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;40;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;43;;;;;;;;;;;;;;;;;;56;;8;;;;;;;;;;;;LIMPO
Surfrider Foundation Europe;6178 Avenue de la Plage 62231 Sangatte France;FR;North-east Atlantic Ocean;69;;;20160319;Cleanup;;18.257.399.998.121.300;5.096.130.000.019.430;18.267.399.998.948.700;5.096.130.000.019.430;;;45;;;;;;60;;;;;;;;;;40;;;;;;;;;100;;50;30;;;;;;;;;;;;;;500;;;;600;;;;;;;;;;;;;;10;;;;;180;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;15;;6;;;;;;;;35;;;;LIMPO
Surfrider Foundation Europe;6178 Avenue de la Plage 62231 Sangatte France;FR;North-east Atlantic Ocean;69;;;20160319;Cleanup;;18.257.399.998.121.300;5.096.130.000.019.430;18.267.399.998.948.700;5.096.130.000.019.430;;;45;;;;;;60;;;;;;;;;;40;;;;;;;;;100;;50;30;;;;;;;;;;;;;;500;;;;600;;;;;;;;;;;;;;10;;;;;180;;60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;25;;;;;;;;;;;;;;;;;;15;;6;;;;;;;;35;;;;LIMPO
Surfrider Foundation Europe;81 Chemin de Senix 64500 Saint-Jean-de-Luz France;FR;North-east Atlantic Ocean;81;;;20160217;Cleanup;;-16.205.199.998.174.900;434.213.999.996.969;-16.195.199.997.347.900;434.213.999.996.969;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Surfrider Foundation Europe;Avenue des Cavaliers Anglet 64600 Anglet France;FR;North-east Atlantic Ocean;81;;;20160127;Cleanup;;-15.266.900.000.073.300;4.352.160.000.005.640;-1.525.689.999.924.630;4.352.160.000.005.640;;;20;;;1;6;;;;;;;;;;;;;;;;;5;30;;;9;;;2;;;;;;;;;;;;;;9;;;;;;;1;;;;;;;;;;13;2;;;;;25;;14;;;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;1;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;3;;6;;;;;;;;15;;;;LIMPO
Surfrider Foundation Europe;cotentin surf club 14 bis boulevard Deveaud 50340 Siouville-Hague France;FR;North-east Atlantic Ocean;71;;;20160319;Cleanup;;-18.402.000.003.792.500;4.955.840.000.005.540;-18.392.000.002.965.500;4.955.840.000.005.540;;;;;;;10;;;;;;;;;;;;60;;;;;20;;;;20;50;10;;;;;;;;;;;;;;;200;;;;80;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;40;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;LIMPO
gBqsPxAZ;forum;FR;North-east Atlantic Ocean;100;Urban;Other (mixed);20160506;Cleanup;;-3.516.423.629.056.440;4.883.283.979.140.420;-35.159.416.379.907.700;4.883.368.297.941.510;;;;1;;1;;;;;;;;;;;;;;;;;;;4;;1;6;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;14;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;12;7;;;;;;;1;;;1;;;;;;;;;;;;2;;;;;2;;;;;;;;;;;;;;277;;;;LIMPO
gBqsPxAZ;goas lagorn;FR;North-east Atlantic Ocean;97;Rural;Sandy;20160513;Cleanup;;-35.492.838.305.713.200;4.874.463.585.600.960;-35.493.715.465.672.300;48.745.510.377.962.200;;;;;;;;;;;;;;;;;;;2;;;;;;3;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;3;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26;;;;LIMPO
gBqsPxAZ;kellen;FR;North-east Atlantic Ocean;102;Urban;Other (mixed);20160511;Cleanup;;-35.785.844.775.358.100;4.878.236.264.010.490;-35.790.241.444.769.000;4.878.149.598.766.700;;;;;;1;;;;;;;;;;;;;5;;;;;;1;;;;;1;;;;;;;;;;;1;;;;12;;;;;;;11;;;;;;;;;;;;;1;;;22;;1;;;;;;;;;;;1;;;;;;;;;1;;;;;;;4;;;1;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;72;;;;LIMPO
gBqsPxAZ;keryvon;FR;North-east Atlantic Ocean;100;Rural;Sandy;20160511;Cleanup;;-35.428.027.454.095.200;4.879.760.469.828.720;-35.418.388.620.928.300;48.798.249.616.939.400;;;;1;;1;;;;;;;;;1;;;;2;;;;;;10;1;;5;3;3;;;1;;;;;;;;1;;;;18;;;;;;;;;;;;;;;;;;;;17;;;56;;71;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;5;;;;;;;;1;;;;;1;;2;1;;;;;;;;;;;1;;;;;;;;1;;;;;;37;;;1;POLUIDO
Surfrider Foundation Europe;La Barre;FR;North-east Atlantic Ocean;100;Near river mouth;Sandy;20161122;Monitoring;;-1.524.109.783.389.800;4.352.656.848.702.630;-15.233.990.282.521.600;4.352.730.106.708.810;;;;;;22;2;;22;;;;;;;;;;23;6;;12;3;1;12;1;;6;4;;10;1;;;;;;;;;;;;1;23;17;;;4;;;2;1;;;;;11;1;;;3;;;17;;;208;;5;;;;;1;;;1;16;;;33;3;;;;;;;;6;;;2;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;2;;2;;;;2;;;;19;;7;;POLUIDO
Surfrider Foundation Europe;La Barre;FR;North-east Atlantic Ocean;100;Near river mouth;Sandy;20161017;Monitoring;;-1.524.109.783.389.800;4.352.656.848.702.630;-15.233.990.282.521.600;4.352.730.106.708.810;;;;;;56;;;24;;;;1;;;;;;34;;;;;4;71;2;;19;;3;10;;;;2;1;2;;1;;3;;;;63;;;;19;;;9;1;;1;;;3;;;;7;1;;54;;;431;;11;;;;;6;;6;;;;;24;;;;2;15;;;2;1;;;;;;1;;;1;;;;;;;;6;11;;;;;;1;;;;9;4;;;;;;;;;;;1;8;;5;;;1;;;;;;;;;1;;;;10;1;;;;;1;;;;17;;4;;POLUIDO
gBqsPxAZ;la grève blanche;FR;North-east Atlantic Ocean;102;Rural;Sandy;20160510;Cleanup;;-3.521.528.241.878.090;4.882.999.887.128.440;-3.520.118.237.224.950;4.882.998.654.740.640;;;;;;;;;;;;;;;;;;;;;;;;;5;;;1;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;;;;26;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;LIMPO
gBqsPxAZ;landrellec;FR;North-east Atlantic Ocean;101;Rural;Sandy;20160510;Cleanup;;-35.407.051.702.379.300;4.881.584.678.034.200;-35.397.713.014.315.200;488.165.221.351.303;;;;;;4;;;3;;;;;;;;;;;;;;;;4;;;1;;;1;;;;;;;;;;;;;;9;;;;;;;16;;;;;;;;1;;;;;;;;15;;13;;;;;;;;;;;1;;;;;;1;;;1;;;;;;;5;;;1;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;169;;1;;LIMPO
gBqsPxAZ;maez an aod;FR;North-east Atlantic Ocean;99;Rural;Sandy;20160513;Cleanup;;-35.507.983.470.212.300;4.873.539.723.563.600;-35.503.205.394.098.100;4.873.622.912.773.820;;;;;;;;;;;;;;;;;;;;;;;;;7;;;4;;;;;;;;;;;;;;;;;4;;;;;;;1;;;;;;;;;;;;;3;;;17;;20;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;;;;LIMPO
gBqsPxAZ;perros cale;FR;North-east Atlantic Ocean;100;Urban;Pebbels;20160503;Cleanup;;-34.366.058.986.960.000;4.880.597.613.934.190;-34.372.726.031.470.400;4.880.519.116.495.460;;;;2;1;1;;;;;;1;;;;;;;4;;;;;;1;;;;;3;;1;;;;;;;;;;;;;35;;;;;;;11;;;1;;;;;4;;2;;;1;46;;;;4;;;;;;;;;;;6;;;;;;;;;3;;;;;;;22;;;;;;;;;;;;;;;;;;;;;14;;;;;;;;;;;2;;;1;;;;;;;;;7;;;;;;;;;3;;;;;;;;;;61;;;;POLUIDO
gBqsPxAZ;pors gelen;FR;North-east Atlantic Ocean;101;Urban;Sandy;20160513;Cleanup;;-35.658.358.915.524.800;4.880.703.873.300.800;-35.646.890.744.129.900;4.880.651.919.416.470;;;;;;1;;;;;;;;;;;;;2;;;;;1;14;;;4;5;;;;1;;;;;;;;1;;;;21;;;;;;;2;;1;;;;1;;;;;;;1;;;56;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;1;;;2;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;LIMPO
gBqsPxAZ;pors mabo;FR;North-east Atlantic Ocean;100;Rural;Sandy;20160512;Cleanup;;-35.634.150.198.966.600;48.759.706.512.766.900;-3.564.666.541.072.400;4.876.007.415.351.620;;;;;;;;;3;;;;;;;;;;6;;;;;;2;;;6;;2;3;;;;;;;;;;;;;;19;;1;;;;;3;;;;;1;;;;;;1;;12;;;29;;43;;;;;;;;;;;;;;;;;1;;;;2;;;;;;;;;2;;;;;;;;;;;;;;;;;;;2;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;16;;1;;LIMPO
gBqsPxAZ;pors termen;FR;North-east Atlantic Ocean;100;Urban;Sandy;20160512;Cleanup;;-3.583.480.246.426.920;4.877.410.101.120.560;-35.840.741.550.006.100;48.773.286.348.762.100;;;;;2;;;;;;;;;;;;;;2;;;;;1;12;;;5;1;;;;;;;;;;;;;;;;8;;;;;;;3;;;;;;;;;;;;;20;;;154;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;1;;LIMPO
Surfrider Foundation Europe;Porsmilin ;FR;North-east Atlantic Ocean;71;Rural;Sandy;20161014;Monitoring;;-46.797.535.381.061.900;48.355.654.612.359.300;-4.680.713.612.566.090;48.355.716.171.224.200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Surfrider Foundation Europe;Porsmilin ;FR;North-east Atlantic Ocean;71;Rural;Sandy;20161014;Monitoring;;-46.797.535.381.061.900;48.355.654.612.359.300;-4.680.713.612.566.090;48.355.716.171.224.200;;;3;;;5;;;29;;3;;;;;;;;13;;;;;;5;;;2;;1;;;;;;;;;;;;;;;2;;6;;1;;;1;;;;;;;;;;3;;;;;;17;;3;;;;;;;;;;;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;LIMPO
gBqsPxAZ;renote;FR;North-east Atlantic Ocean;100;Urban;Sandy;20160506;Cleanup;;-35.089.734.368.745.600;4.883.527.403.765.970;-35.080.223.401.776.200;48.835.920.600.507.700;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;;;;LIMPO
gBqsPxAZ;ste Anne;FR;North-east Atlantic Ocean;101;Urban;Other (mixed);20160506;Cleanup;;-3.509.248.228.825.050;48.826.800.580.744.300;-351.000.055.889.233;48.827.559.560.752.100;;;;3;;;;;;;;;;;;;;;24;;2;;;;34;1;;14;1;;;;;;;;;;;;;;;;24;;;;;;;;;;3;;;;;;;;2;;5;;;296;;29;;;;;;;;;;;;3;;;;;;;;1;2;;;;;;2;;;;;;;;;;;;;;;;;;;;;15;;;1;4;;;;;;;1;;;;;7;1;;;;;;1;;;;;;;;;;;;;;;;;;;72;;;2;POLUIDO
gBqsPxAZ;toeno;FR;North-east Atlantic Ocean;103;Rural;Other (mixed);20160511;Cleanup;;-3.581.422.114.482.850;4.878.801.829.776.790;-3.580.730.298.526.350;48.787.204.878.591.900;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;1;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;1;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;;;;;;;;;;125;;;;LIMPO
gBqsPxAZ;Tresmeur;FR;North-east Atlantic Ocean;102;Urban;Sandy;20160512;Cleanup;;-35.827.194.281.785.000;48.768.341.708.796.800;-35.840.579.565.794.100;4.876.861.273.933.770;;;;;;5;;;1;;;;;;;;;;1;;;;;;24;;;2;;3;2;1;;;;;;;;;;;;;17;;;;;;;9;;;;;;;;;;;;;5;;;96;;1;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;1;;;6;;;;;;;;;;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;2;1;LIMPO
gBqsPxAZ;trestraou;FR;North-east Atlantic Ocean;99;Urban;Sandy;20160506;Cleanup;;-34.577.598.069.938.200;4.881.602.657.605.860;-34.589.597.594.823.500;48.816.440.886.218.100;;;1;;3;;1;;;;;;;;;;;;;;;;;;5;;;;1;1;;;;;;;;;;;;;;1;1;;;;;;;1;;;;;;;;;;;;;;;;17;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;1;;;;;;;;2;;;;;1;;;;;;;8;;;;;1;;;;;;;;;;;;;;7;;;;LIMPO
Surfrider Foundation Europe;Unnamed Road Le Porge 33680 Le Porge France;FR;North-east Atlantic Ocean;79;;;20160109;Cleanup;;-12.286.700.004.224.600;4.482.790.000.012.360;-12.276.700.003.397.600;4.482.790.000.012.360;;;200;;;50;100;;20;;;;;;;;;;100;;;;;5;1;;;10;10;1;30;20;20;;;;;;;;;;;;30;;;;3;;;1;;;;;;;;;;8;2;;;;;10;;;;;;;;;;;;;;50;;;;;7;;;;1;;;;;1;;;;;2;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2;;2;;;;;;;;4;;;;POLUIDO
