CommunityName;BeachName;BeachCountrycode;BeachRegionalSea;BeachLength_m;BeachLocation;BeachType;EventDate;EventType;NatRef;lon_x1;lat_y1;lon_x2;lat_y2;;G1;G3;G4;G5;G7;G8;G9;G10;G11;G12;G13;G14;G15;G16;G17;G18;G19;G21;G22;G23;G24;G25;G26;G27;G28;G29;G30;G31;G32;G33;G34;G35;G36;G37;G40;G41;G42;G43;G44;G45;G46;G47;G49;G50;G52;G53;G54;G56;G57;G58;G59;G60;G62;G63;G64;G65;G66;G67;G68;G69;G70;G71;G72;G73;G76;G77;G79;G80;G82;G83;G84;G85;G86;G87;G88;G89;G90;G91;G92;G93;G95;G96;G97;G98;G99;G100;G101;G102;G124;G125;G126;G127;G128;G129;G130;G131;G132;G133;G134;G137;G138;G139;G140;G141;G142;G143;G144;G145;G147;G148;G150;G151;G152;G153;G154;G155;G156;G158;G159;G160;G161;G162;G163;G164;G165;G166;G167;G171;G172;G174;G175;G176;G177;G178;G179;G180;G181;G182;G184;G186;G187;G188;G189;G190;G191;G193;G194;G195;G198;G199;G200;G201;G202;G203;G204;G205;G206;G207;G208;G210;G211;G213;CLASSE
Plastic Change;Lejre Vig II;DK;North-east Atlantic Ocean;100;Rural;Rocky;20160711;Monitoring;;11.991.250.000.226.000;5.568.303.499.994.530;1.199.203.000.020.060;55.682.250.999.909.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
Plastic Change;Lejre Vig II;DK;North-east Atlantic Ocean;100;Rural;Rocky;20161015;Monitoring;;11.991.250.000.226.000;5.568.303.499.994.530;1.199.203.000.020.060;55.682.250.999.909.500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;LIMPO
Plastic Change;Lejre Vig II;DK;North-east Atlantic Ocean;100;Rural;Rocky;20160415;Monitoring;;11.991.250.000.226.000;5.568.303.499.994.530;1.199.203.000.020.060;55.682.250.999.909.500;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;1;;;2;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;13;1;;3;;;;;;;;;1;;;;;;;;;;;;;;;19;;;;;;;;LIMPO
Aarhus University - Denmark;MSFD Kofoeds enge;DK;Baltic Sea;99;Rural;Sandy;20160621;Monitoring;;12.576.667.534.348.700;55.557.674.883.681.600;12.575.087.175.880.100;55.557.611.412.989.900;;;;2;;1;;;2;;;;;;;;;;1;;1;1;4;;;;;6;;;1;;;;;;;;;;;;;;10;;1;1;;;;;;;;;;;;;;1;;;3;;;11;;1;;;;;1;;;;3;;;2;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;5;;;1;;2;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;5;POLUIDO
Aarhus University - Denmark;MSFD Kofoeds enge;DK;Baltic Sea;99;Rural;Sandy;20161015;Monitoring;;12.576.667.534.348.700;55.557.674.883.681.600;12.575.087.175.880.100;55.557.611.412.989.900;;;2;6;;;;;6;;1;;;;;;;;6;3;4;;2;;;1;;7;;;3;;2;;;;1;;;;;;;;6;;;1;;;;;;;;;;2;3;;;4;1;;3;;;17;;6;;;;;1;;1;;1;;;5;;;1;1;;;1;;2;;;;;;;;;1;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;4;;;2;;3;1;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;3;POLUIDO
Aarhus University - Denmark;MSFD Kofoeds enge;DK;Baltic Sea;99;Rural;Sandy;20160414;Monitoring;;12.576.667.534.348.700;55.557.674.883.681.600;12.575.087.175.880.100;55.557.611.412.989.900;;;1;1;;;;;6;;;;;;;;;;7;;;1;2;;2;;;15;;;4;;1;;2;;;;;;;;;2;16;;;;1;;;1;;;1;;;2;1;;;9;;;31;;;40;1;18;;;;;;1;;1;7;;1;4;1;;;;;;;;1;;;;;;;1;;2;;;;;;;;1;1;;;2;1;;;;;2;3;;;;;;;;;;5;;;7;;5;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;2;53;POLUIDO
Aarhus University - Denmark;MSFD Nymindegab;DK;North-east Atlantic Ocean;100;Rural;Sandy;20160424;Monitoring;;8.163.800.428.153.900;55.841.436.811.772.600;816.400.913.643.878;5.584.054.877.552.570;;;1;2;;2;;;;;;1;;;1;;;;;;;;;;1;;;3;;;;;2;;;;1;;;;;;;2;20;;;1;2;;;;;;2;;1;1;1;;;;;;38;;;15;;2;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;3;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;2;1;;208;POLUIDO
Aarhus University - Denmark;MSFD Nymindegab;DK;North-east Atlantic Ocean;100;Rural;Sandy;20161020;Monitoring;;8.163.800.428.153.900;55.841.436.811.772.600;816.400.913.643.878;5.584.054.877.552.570;;;;1;;6;;;1;;1;1;;;;;;;5;;3;3;;;;1;;8;;1;1;;3;;;;;;2;;;;;4;74;;3;;2;;;;;;;;;7;;;;2;;;6;;;47;;4;;;;;;;;;;;;3;;;;;;;;;27;;;;;;1;;;1;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;203;POLUIDO
Aarhus University - Denmark;MSFD Nymindegab;DK;North-east Atlantic Ocean;100;Rural;Sandy;20160715;Monitoring;;8.163.800.428.153.900;55.841.436.811.772.600;816.400.913.643.878;5.584.054.877.552.570;;;3;3;;3;1;;5;;;;;;;;;;16;2;3;1;;2;1;1;;22;1;1;5;;4;;1;;2;;;;;;;4;99;;7;2;14;;;;;;;;;5;3;1;;3;;;7;;;125;;14;;;;;;;;;;;1;26;;1;;;;;;;31;2;;;;;;;;2;3;;;1;;2;;;1;;;1;4;;;;;1;2;;1;2;;;;;;;5;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;1;;;174;POLUIDO
Aarhus University - Denmark;MSFD Pomlenakke Falster;DK;Baltic Sea;100;Rural;Other (mixed);20160625;Monitoring;;12.123.961.764.309.000;54.805.881.753.177.500;12.124.830.010.285.600;548.066.318.092.434;;;;2;;1;1;;5;;;;;;;;;;;;1;;;;1;;;2;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;1;;;;;;6;;;4;;36;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;2;;1;1;;;;;;;;;;;;;;;;;;;;;46;;;;5;;;60;LIMPO
Aarhus University - Denmark;MSFD Pomlenakke Falster;DK;Baltic Sea;100;Rural;Other (mixed);20160423;Monitoring;;12.123.961.764.309.000;54.805.881.753.177.500;12.124.830.010.285.600;548.066.318.092.434;;;;4;;;1;;4;;;;;;;;;;1;;1;;;;2;;;1;;;3;;;;;;;;;;;;;;6;;1;;;;;;;;;;;;;;;2;;;2;;;2;;63;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;4;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;24;;;;8;;;9000;LIMPO
Aarhus University - Denmark;MSFD Pomlenakke Falster;DK;Baltic Sea;100;Rural;Other (mixed);20161015;Monitoring;;12.123.961.764.309.000;54.805.881.753.177.500;12.124.830.010.285.600;548.066.318.092.434;;;;1;;1;;;4;;1;;;1;;;;;1;1;2;;;;;;;3;;1;;;1;;;;1;;;;;;;;6;;1;;;;;;;;;;1;;2;;;;1;;2;;;6;;19;;;;;;;1;1;;;;;;;1;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;1;;;;;;;;;;;;;;1;;1;;;;1;;110;;;;4;;;14;POLUIDO
Aarhus University - Denmark;MSFD Skagen;DK;North-east Atlantic Ocean;99;Rural;Other (mixed);20160703;Monitoring;;1.058.123.183.286.400;5.774.860.901.131.980;10.582.810.882.487.200;5.774.891.554.142.230;;;3;;;;1;;6;;;1;;;;;;;9;5;9;5;;2;1;;;15;;1;2;1;6;;1;;1;;2;;;;;3;58;;1;1;3;;;;;;;;;5;;;;3;2;;10;;;83;;11;;;;;;;;;;;;15;;;;;1;;;;12;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;1;;;390;POLUIDO
Aarhus University - Denmark;MSFD Skagen;DK;North-east Atlantic Ocean;99;Rural;Other (mixed);20161016;Monitoring;;1.058.123.183.286.400;5.774.860.901.131.980;10.582.810.882.487.200;5.774.891.554.142.230;;;2;5;;3;6;;3;;;3;;1;2;;;;14;5;5;4;;;1;1;;15;3;2;11;;8;;;;1;;1;;;;;9;198;;1;;6;1;;;;3;;;1;2;6;;;7;1;;3;;;119;;16;1;;;1;;;;;1;;;21;;;;;;;;;37;;;;;;1;;;3;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;17;4;;1;;;;;;;;;;;;;;;;;;;;1;9;1;;7;;;;37;1;;108;POLUIDO
Aarhus University - Denmark;MSFD Skagen;DK;North-east Atlantic Ocean;99;Rural;Other (mixed);20160417;Monitoring;;1.058.123.183.286.400;5.774.860.901.131.980;10.582.810.882.487.200;5.774.891.554.142.230;;2;1;4;;14;14;9;27;1;1;18;1;;3;1;;1;156;231;72;30;1;74;2;36;8;68;10;47;5;2;43;;2;;4;;22;;;;;71;304;;17;1;20;2;;;12;124;;;;34;5;;;70;9;;204;;;928;14;581;;;;;;;2;1;;;;215;;5;;8;12;1;;;31;2;;;;;;;;13;;2;;;;2;;15;3;;;;2;1;1;;;1;;1;;1;;;;;;;32;1;1;3;;2;6;;;;;;;;;;;;;;;18;;13;;5;;2;1;;;1;2;;842;POLUIDO
gBqsPxAZ;plastic prOve;DK;Baltic Sea;84;Rural;Sandy;20160810;Cleanup;;11.649.945.012.849.100;5.517.335.564.636.630;11.649.460.046.563.100;55.174.061.064.636.500;;;28;;;;;;;;;;;;;;;;;;;;;;9;;;1;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIMPO
